	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance
		(1.224)	(0.649)	(0.670)		(1.186)	(0.948)	(0.937)		(0.266)	(0.377)	(0.365)		(12.45)	(0.965)	(1.727)		(0.756)	(0.371)	(1.044)		(0.312)	(0.369)	(0.281)
4.quintile		0.784	1.701	1.127		1.428	0.525	1.143		0.713	0.723	0.536*		1.427	0.704*	1.015		2.862	0.928	2.966**		0.958	5.973*	0.837
		(0.416)	(0.699)	(0.788)		(1.152)	(0.369)	(0.443)		(0.483)	(0.248)	(0.199)		(1.148)	(0.142)	(0.365)		(2.732)	(0.699)	(1.629)		(0.412)	(5.893)	(0.154)
5.quintile		1.620	1.467	0.764		1.514	0.617	1.090		0.620	0.951	0.608		6.143	0.632**	0.974		1.351	0.252**	1.611		0.609	6.478	0.608*
		(1.304)	(0.714)	(0.547)		(0.855)	(0.242)	(0.466)		(0.522)	(0.330)	(0.247)		(7.125)	(0.133)	(0.342)		(1.093)	(0.177)	(0.694)		(0.347)	(7.774)	(0.179)
1.island_region		1.301	2.369**	2.223		6.246**	1.476	2.101*		1.421	3.485**	2.921		1.320	1.032	0.920		1.193	0.967	2.057		1.308	1.400	1.440
		(1.204)	(0.981)	(1.273)		(4.951)	(0.744)	(0.809)		(1.052)	(1.917)	(2.153)		(1.048)	(0.459)	(0.632)		(1.088)	(0.339)	(1.033)		(0.785)	(1.274)	(0.929)
2.island_region		0.825	2.266*	2.060		3.998***	1.599	1.427		2.062	5.340***	4.240***		19.34***	1.596	1.130		0.830	1.791	1.544		1.363	0.791	1.021
		(0.569)	(0.964)	(1.015)		(1.902)	(0.814)	(0.538)		(1.021)	(2.134)	(1.732)		(18.78)	(0.503)	(0.291)		(0.572)	(0.901)	(0.425)		(0.940)	(0.360)	(0.461)
3.island_region		3.336**	4.329***	3.796**		4.618***	1.351	2.403**		1.642	3.567***	3.930***		8.920***	1.409	1.556		1.869	1.479	2.075*		1.233	0.757	1.687
		(2.006)	(2.462)	(2.469)		(1.794)	(0.924)	(1.038)		(0.858)	(1.505)	(1.704)		(5.944)	(0.436)	(0.512)		(0.878)	(1.029)	(0.838)		(0.564)	(0.361)	(0.717)
4.island_region		2.595*	3.756***	3.205**		2.904***	1.344	1.731		1.974*	2.444*	2.051		11.74***	2.482***	2.249***		2.243	1.834	2.219***		1.179	1.251	1.007
		(1.353)	(1.887)	(1.875)		(0.686)	(1.071)	(0.860)		(0.811)	(1.300)	(1.123)		(10.72)	(0.733)	(0.520)		(1.186)	(0.972)	(0.629)		(0.733)	(0.301)	(0.444)
5.island_region		1.223	3.465**	2.769		4.103**	0.548	1.338		0.601	2.131	1.454		3.062**	1.514*	1.289		2.999**	1.589	1.687		0.476	1.061	1.307
		(0.600)	(1.980)	(1.767)		(2.615)	(0.340)	(0.730)		(0.441)	(0.997)	(0.901)		(1.477)	(0.322)	(0.517)		(1.405)	(0.622)	(0.609)		(0.224)	(0.279)	(0.623)
6.island_region		1.569	1.675	2.727*		2.678***	1.130	1.719**		0.733	2.039**	2.135***		1.323	1.526***	1.358		2.209	2.468***	2.145***		0.767	0.967	1.706
		(0.598)	(0.917)	(1.444)		(0.691)	(0.394)	(0.431)		(0.192)	(0.621)	(0.552)		(1.271)	(0.217)	(0.421)		(1.120)	(0.420)	(0.458)		(0.179)	(0.316)	(0.733)
intermediate																								
																								
advance																								
																								
Constant		0.000321**	0.000103***	0.000179***		8.69e-06***	0.0207	0.00552***		1.05e-05***	0.000582***	3.70e-05***		2.79e-09***	0.0342**	0.0161**		0.000950**	0.0746	0.00266***		0.0115	0.000709***	0.000300***
		(0.00120)	(0.000212)	(0.000344)		(2.25e-05)	(0.104)	(0.00975)		(3.79e-05)	(0.00128)	(8.74e-05)		(1.84e-08)	(0.0497)	(0.0301)		(0.00296)	(0.156)	(0.00399)		(0.0363)	(0.000832)	(0.000339)
																								
Observations	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834	2,834
Robust seeform in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
